UniProt_ID,set
P42738,validation
P42742,test
P42745,test
P42749,training
P42761,training
P42774,validation
P42793,training
P42795,training
P42798,training
P42799,training
P43286,test
P43287,validation
P43291,training
P43292,training
P43333,training
P46077,training
P46248,training
P46312,training
P46421,training
P46422,training
P46643,test
P46644,test
P46645,training
P46646,training
P47998,validation
P47999,training
P48001,training
P48347,test
P48348,training
P48349,training
P48421,training
P48484,training
P48486,training
P48491,training
P48523,test
P48641,validation
P49077,training
P49209,training
P49227,training
P49243,training
P49572,training
P49599,training
P49690,training
P49691,training
P49692,training
P49967,training
P50287,training
P50318,training
P51412,training
P51414,test
P51418,training
P51419,training
P52032,training
P52410,training
P52422,test
P52577,test
P52839,training
P52901,training
P53492,test
P53496,training
P53497,test
P53665,training
P53799,training
P54150,training
P54873,training
P54904,training
P54970,training
P55034,training
P56753,training
P56755,validation
P56756,training
P56757,training
P56759,training
P56760,training
P56761,training
P56765,training
P56771,test
P56774,training
P56777,training
P56778,training
P56791,training
P56792,training
P56793,test
P56794,test
P56797,training
P56798,training
P56801,test
P56805,training
P57691,training
P57720,training
P57742,training
P57751,test
P57752,training
P59230,training
P59231,test
P59259,training
P60039,training
P60040,validation
P61841,training
P61845,training
P62090,training
P69834,training
P81760,test
P82281,validation
P82538,training
P82715,training
P82805,test
P82869,training
P83291,validation
P83755,training
P92540,training
P92549,training
P92947,validation
P92959,training
P92963,training
P92964,training
P92976,training
P92979,training
P92994,training
P93009,test
P93014,training
P93031,training
P93032,training
P93033,training
P93047,test
P93051,training
P93303,training
P93306,training
P93732,test
P93819,training
P93832,training
P94072,test
P94111,training
Q00218,training
Q00874,training
Q01474,validation
Q01525,test
Q01667,training
Q01908,training
Q01909,training
Q02166,training
Q02971,training
Q03250,training
Q04613,training
Q05431,training
Q05728,training
Q05753,training
Q06588,validation
Q07473,training
Q08112,training
Q08466,training
Q08682,training
Q08A71,training
Q09152,training
Q0WP12,training
Q0WPI9,training
Q0WPN8,validation
Q0WPW4,training
Q0WRJ2,training
Q0WRJ7,training
Q0WRW8,validation
Q0WTP1,test
Q0WV25,training
Q0WWT7,training
Q1ECE0,test
Q1G3M2,training
Q1H537,training
Q1H583,training
Q1H595,validation
Q1WIQ6,training
Q24JL3,training
Q2V465,training
Q38799,training
Q38857,training
Q38858,training
Q38859,training
Q38862,training
Q38867,test
Q38884,training
Q38900,training
Q38919,training
Q38929,training
Q38933,training
Q38942,training
Q39024,training
Q39026,training
Q39048,training
Q39056,training
Q39089,training
Q39099,training
Q39108,training
Q39172,validation
Q39173,training
Q39192,training
Q39199,training
Q39212,training
Q39218,training
Q39221,test
Q39222,training
Q39227,training
Q39230,training
Q39233,test
Q39241,training
Q39242,training
Q39247,training
Q39249,training
Q39251,training
Q3E6S8,training
Q41906,training
Q41931,training
Q41932,training
Q41969,training
Q42029,training
Q42064,training
Q42112,training
Q42134,training
Q42262,training
Q42340,training
Q42384,training
Q42403,training
Q42406,training
Q42418,training
Q42449,training
Q42472,training
Q42521,training
Q42522,training
Q42525,training
Q42527,training
Q42538,training
Q42545,training
Q42546,training
Q42547,training
Q42553,training
Q42564,training
Q42577,training
Q42580,training
Q42583,training
Q42586,training
Q42592,test
Q42593,training
Q42605,training
Q43127,training
Q43307,training
Q43315,training
Q43387,training
Q43725,training
Q43729,test
Q43735,training
Q43870,training
Q43872,training
Q43873,test
Q4V3D9,training
Q56WD9,training
Q56WF8,test
Q56WH1,training
Q56XQ0,training
Q56XR7,training
Q56Y11,training
Q56Y85,training
Q56YA5,test
Q56YU0,validation
Q56Z59,training
Q570C8,training
Q5HZ00,training
Q5PNU3,training
Q5PP37,test
Q5XF06,validation
Q5XF75,training
Q5XF82,training
Q66GI2,training
Q67Y83,validation
Q67Y99,test
Q680A5,validation
Q680K2,training
Q681Y3,training
Q682T9,training
Q682V0,training
Q6ICX4,validation
Q6NKW9,test
Q6NL24,training
Q6NLQ7,training
Q6NMK6,training
Q6NPM5,training
Q6NPM8,training
Q6NQE2,training
Q6NQK9,validation
Q6Q151,training
Q6Q152,training
Q6R0G4,training
Q70DU8,training
Q70E96,training
Q76FS5,training
Q7DLR9,training
Q7XA67,test
Q7XJ60,test
Q7Y232,training
Q84JF7,validation
Q84JH7,test
Q84L32,training
Q84L33,validation
Q84M92,training
Q84M96,training
Q84MB6,training
Q84MD8,training
Q84QC1,training
Q84TF0,training
Q84VV6,training
Q84VZ1,test
Q84VZ5,training
Q84W65,training
Q84WN0,validation
Q84WV9,training
Q84WW2,training
Q8GS60,training
Q8GSJ1,training
Q8GUN2,training
Q8GUN6,training
Q8GW64,training
Q8GW78,training
Q8GWA7,training
Q8GWF4,test
Q8GWI7,training
Q8GWP5,training
Q8GWQ6,validation
Q8GWR0,training
Q8GWS0,training
Q8GWU0,training
Q8GXX7,training
Q8GY88,training
Q8GYB8,validation
Q8GYF7,training
Q8GYN9,test
Q8GYP3,training
Q8GYR4,training
Q8H0V3,training
Q8H0W0,training
Q8H0W1,training
Q8H0Y1,training
Q8H110,training
Q8H124,training
Q8H156,training
Q8H166,training
Q8H1E2,training
Q8H1G6,training
Q8H1Q2,training
Q8H1S4,training
Q8H1Y0,training
Q8L493,training
Q8L4M1,test
Q8L4N1,training
Q8L4Y5,training
Q8L539,training
Q8L540,validation
Q8L557,training
Q8L5U0,training
Q8L5Z1,training
Q8L633,training
Q8L719,training
Q8L733,training
Q8L770,training
Q8L7B2,test
Q8L7C9,training
Q8L7D5,training
Q8L7R2,training
Q8L7Z3,training
Q8L8T2,training
Q8L940,training
Q8L953,test
Q8L968,test
Q8L970,training
Q8L9C4,training
Q8L9J9,validation
Q8L9X2,training
Q8L9Y0,training
Q8LA16,training
Q8LA53,test
Q8LAC4,training
Q8LAD0,training
Q8LAD2,training
Q8LAH7,test
Q8LAH8,training
Q8LAN3,training
Q8LAP6,training
Q8LAS8,validation
Q8LAZ7,training
Q8LB01,training
Q8LB10,training
Q8LB17,training
Q8LBB2,validation
Q8LBU2,training
Q8LBZ7,training
Q8LC83,training
Q8LCE1,training
Q8LCT3,training
Q8LCY2,training
Q8LD27,training
Q8LD49,training
Q8LDL0,training
Q8LDR3,validation
Q8LDU4,training
Q8LE52,training
Q8LEB6,training
Q8LER3,test
Q8LEU3,test
Q8LF48,training
Q8LF99,training
Q8LFC0,training
Q8LFJ5,training
Q8LFQ6,training
Q8LFS6,training
Q8LG50,training
Q8LGG0,training
Q8LGI2,training
Q8LPJ5,validation
Q8RUD6,training
Q8RUF8,training
Q8RUW5,training
Q8RV79,test
Q8RWF0,training
Q8RWR1,training
Q8RX79,training
Q8RX86,training
Q8RX88,training
Q8RXD5,training
Q8RXE9,validation
Q8RXK6,training
Q8RXN4,training
Q8RXN6,training
Q8RXX5,training
Q8RY00,validation
Q8RY79,test
Q8RYE9,training
Q8S4Y1,training
Q8S8F9,training
Q8S9J1,training
Q8S9J2,validation
Q8S9K8,training
Q8S9M1,test
Q8VWF6,training
Q8VXY9,training
Q8VXZ7,training
Q8VXZ9,training
Q8VY49,training
Q8VY52,training
Q8VY88,test
Q8VY91,training
Q8VYB5,training
Q8VYE2,validation
Q8VYF5,training
Q8VYG2,training
Q8VYG9,training
Q8VYI0,training
Q8VYI3,training
Q8VYK7,training
Q8VYN2,training
Q8VYP0,test
Q8VYV7,training
Q8VYZ2,training
Q8VZ19,training
Q8VZ49,training
Q8VZ87,validation
Q8VZB9,training
Q8VZG1,training
Q8VZN9,training
Q8VZP1,training
Q8VZS8,validation
Q8VZT6,training
Q8VZW3,training
Q8W0Y8,training
Q8W108,training
Q8W1X2,training
Q8W453,training
Q8W485,training
Q8W487,validation
Q8W491,training
Q8W493,training
Q8W4C2,training
Q8W4C8,training
Q8W4E6,training
Q8W4F1,training
Q8W4H7,test
Q8W593,training
Q93V93,training
Q93VB8,test
Q93VC7,test
Q93VC9,training
Q93VG5,training
Q93VH2,test
Q93VH9,training
Q93VI3,training
Q93VR3,training
Q93VR4,training
Q93VV9,training
Q93W34,training
Q93WI0,validation
Q93WJ8,training
Q93WL3,training
Q93WN0,test
Q93WX6,test
Q93XM7,validation
Q93XN8,training
Q93XW5,training
Q93Y09,training
Q93Y31,training
Q93Y35,validation
Q93Y40,training
Q93YR3,training
Q93YW5,training
Q93YZ7,training
Q93Z08,validation
Q93Z70,validation
Q93ZB2,training
Q93ZB6,validation
Q93ZC9,validation
Q93ZG7,training
Q93ZG9,test
Q93ZN2,training
Q93ZN9,training
Q93ZV7,training
Q93ZX1,training
Q940B0,training
Q940H6,training
Q940J8,training
Q940M2,training
Q940S5,test
Q940U6,training
Q940Z5,validation
Q941D3,training
Q943Z6,training
Q944A6,validation
Q944A9,training
Q944G9,training
Q944H0,training
Q944I4,test
Q944K2,training
Q944L7,training
Q945K7,training
Q945Q1,training
Q948K8,training
Q949P3,training
Q949R9,training
Q949Y0,training
Q949Y3,training
Q94A38,training
Q94A52,training
Q94A68,training
Q94A82,training
Q94A94,test
Q94AF2,training
Q94AQ8,training
Q94AR8,training
Q94AT1,training
Q94AU2,validation
Q94AW8,training
Q94AX2,training
Q94B08,training
Q94B35,training
Q94B52,validation
Q94B60,training
Q94B74,training
Q94BN2,training
Q94BS8,training
Q94BT9,training
Q94CD1,training
Q94CD8,validation
Q94CE3,training
Q94CE4,training
Q94CE5,validation
Q94CL6,training
Q94EG6,training
Q94EH2,training
Q94F00,training
Q94F09,training
Q94F40,training
Q94FY7,training
Q94IB8,training
Q94IB9,training
Q94JS4,test
Q94JU3,training
Q94JV4,training
Q94JV5,training
Q94JW0,training
Q94K07,training
Q94K71,test
Q94K73,training
Q94K85,training
Q94KT8,training
Q96250,training
Q96251,training
Q96254,training
Q96255,training
Q96262,training
Q96266,test
Q96293,test
Q96299,training
Q96300,training
Q96327,validation
Q96329,training
Q96330,validation
Q96509,training
Q96511,training
Q96514,training
Q96518,training
Q96520,training
Q96522,test
Q96528,validation
Q96529,training
Q96533,training
Q9ASR0,training
Q9ASS6,training
Q9ASY8,validation
Q9ASZ9,training
Q9AT00,test
Q9AV97,training
Q9C514,training
Q9C518,training
Q9C524,test
Q9C560,training
Q9C566,training
Q9C5C4,training
Q9C5C5,training
Q9C5D0,training
Q9C5E8,training
Q9C5J6,validation
Q9C5J7,training
Q9C5M0,training
Q9C5M8,training
Q9C5U3,test
Q9C5U8,training
Q9C5Z2,training
Q9C5Z3,training
Q9C6B3,training
Q9C6B9,training
Q9C6I6,training
Q9C6K5,training
Q9C6Z3,training
Q9C718,training
Q9C7A8,training
Q9C7C3,training
Q9C7F5,training
Q9C7F7,test
Q9C7F9,training
Q9C7N4,training
Q9C7N5,training
Q9C7U5,training
Q9C7X5,test
Q9C826,training
Q9C829,test
Q9C835,validation
Q9C865,training
Q9C8F1,training
Q9C8L2,training
Q9C8L4,validation
Q9C8P0,training
Q9C942,training
Q9C958,test
Q9C991,training
Q9C9C4,training
Q9C9C6,training
Q9C9C9,training
Q9C9D0,training
Q9C9W5,training
Q9C9Z2,training
Q9CA23,test
Q9CA40,training
Q9CA67,training
Q9CA68,training
Q9CA90,training
Q9CAF5,training
Q9CAI3,validation
Q9CAI5,validation
Q9CAK8,test
Q9CB01,training
Q9FDZ9,training
Q9FE06,test
Q9FE46,training
Q9FE58,training
Q9FE65,training
Q9FE78,test
Q9FEC1,training
Q9FEF8,training
Q9FF53,training
Q9FF75,test
Q9FF86,training
Q9FF90,training
Q9FFD2,validation
Q9FFE0,training
Q9FFF4,training
Q9FFF5,training
Q9FFQ4,training
Q9FFR3,test
Q9FFS8,validation
Q9FFX0,training
Q9FFZ6,training
Q9FG01,training
Q9FG30,validation
Q9FG38,training
Q9FG67,training
Q9FGK3,training
Q9FGS0,training
Q9FGY4,validation
Q9FGZ9,training
Q9FH05,test
Q9FH82,training
Q9FHD7,training
Q9FHI7,training
Q9FHM0,test
Q9FHM7,training
Q9FHX2,training
Q9FHX5,test
Q9FI13,training
Q9FI39,training
Q9FI40,training
Q9FI53,training
Q9FI78,training
Q9FI94,training
Q9FI97,training
Q9FIA0,training
Q9FIA1,training
Q9FIB6,training
Q9FIE8,test
Q9FIJ7,training
Q9FIK8,training
Q9FIW4,test
Q9FIX1,training
Q9FJ41,validation
Q9FJ82,training
Q9FJ95,training
Q9FJD0,training
Q9FJI1,training
Q9FJR5,training
Q9FJT8,test
Q9FJU9,test
Q9FJX3,training
Q9FK23,validation
Q9FK25,test
Q9FK51,training
Q9FK60,validation
Q9FK68,training
Q9FK81,test
Q9FKA0,training
Q9FKK7,training
Q9FKM2,test
Q9FKS0,training
Q9FKS5,test
Q9FKT5,training
Q9FKW6,training
Q9FKW8,training
Q9FL40,validation
Q9FLH8,training
Q9FLQ4,training
Q9FLX7,training
Q9FM01,training
Q9FM04,training
Q9FM65,training
Q9FMR9,training
Q9FMT1,training
Q9FMU6,training
Q9FMV1,training
Q9FMX0,training
Q9FMY5,training
Q9FN03,training
Q9FN41,training
Q9FN48,validation
Q9FN50,training
Q9FN52,training
Q9FN89,training
Q9FNC9,training
Q9FNE2,training
Q9FNJ5,training
Q9FNJ9,training
Q9FNK4,training
Q9FNN5,training
Q9FNP8,training
Q9FNR1,training
Q9FPF0,training
Q9FPH3,training
Q9FQ24,training
Q9FQ25,training
Q9FR37,training
Q9FR44,training
Q9FRL8,test
Q9FT97,training
Q9FUP0,training
Q9FUS6,test
Q9FUS9,training
Q9FUT1,training
Q9FUZ2,validation
Q9FV50,training
Q9FV52,training
Q9FVC8,training
Q9FVR6,training
Q9FVT2,training
Q9FWA3,training
Q9FWR4,training
Q9FWS6,training
Q9FX54,training
Q9FX56,test
Q9FX94,validation
Q9FXJ1,training
Q9FY50,test
Q9FY64,validation
Q9FYA6,training
Q9FYB7,test
Q9FZ45,training
Q9FZ47,training
Q9FZ48,training
Q9FZ76,training
Q9FZA2,training
Q9LD57,training
Q9LDY5,training
Q9LE06,training
Q9LES2,training
Q9LF27,training
Q9LF33,training
Q9LF98,training
Q9LFA3,training
Q9LFG2,validation
Q9LFH5,test
Q9LFJ8,training
Q9LFN6,training
Q9LFP0,validation
Q9LFP1,training
Q9LFP7,training
Q9LFW1,training
Q9LHA7,validation
Q9LHH7,training
Q9LHI0,validation
Q9LHP1,training
Q9LHP2,training
Q9LHT0,training
Q9LIA8,training
Q9LIG0,validation
Q9LIG6,test
Q9LIK9,training
Q9LIN3,training
Q9LJ87,training
Q9LJ98,training
Q9LJG3,training
Q9LJI5,validation
Q9LJN8,training
Q9LJR2,training
Q9LK22,training
Q9LK29,training
Q9LK34,training
Q9LK36,training
Q9LK57,training
Q9LK72,training
Q9LK73,training
Q9LK94,validation
Q9LKA4,test
Q9LKA5,training
Q9LKA9,training
Q9LKJ1,training
Q9LKR8,training
Q9LLC1,training
Q9LM02,validation
Q9LM71,training
Q9LM92,training
Q9LME4,test
Q9LMM0,training
Q9LMR3,training
Q9LMU0,validation
Q9LMU2,training
Q9LN62,training
Q9LNE6,validation
Q9LNI1,training
Q9LNN2,training
Q9LP45,training
Q9LPC4,training
Q9LPC7,training
Q9LPI5,training
Q9LPM9,training
Q9LPU8,training
Q9LPV9,training
Q9LPW0,training
Q9LPZ1,training
Q9LQ04,training
Q9LQC8,training
Q9LQI9,training
Q9LQK0,test
Q9LQK7,test
Q9LQR8,training
Q9LR30,training
Q9LR33,training
Q9LR44,training
Q9LR75,validation
Q9LRJ9,training
Q9LRQ8,validation
Q9LRR9,training
Q9LRS0,training
Q9LRS2,training
Q9LS09,training
Q9LS40,training
Q9LSE4,training
Q9LSQ5,training
Q9LSV0,training
Q9LSW8,training
Q9LSX7,training
Q9LSY5,training
Q9LSY9,training
Q9LT08,training
Q9LT10,training
Q9LT77,training
Q9LT78,training
Q9LTR2,validation
Q9LTR9,validation
Q9LTV6,training
Q9LU01,validation
Q9LU10,training
Q9LU14,training
Q9LU39,validation
Q9LU60,test
Q9LU64,training
Q9LU85,validation
Q9LUG5,training
Q9LUH8,training
Q9LUT2,validation
Q9LUV2,training
Q9LV09,training
Q9LV28,training
Q9LVB8,training
Q9LVF0,test
Q9LVI8,training
Q9LVI9,training
Q9LVM2,training
Q9LVQ8,training
Q9LVV5,training
Q9LVW7,training
Q9LVY0,validation
Q9LVY1,training
Q9LVZ8,training
Q9LW20,training
Q9LW57,training
Q9LW64,training
Q9LW76,training
Q9LX07,training
Q9LX12,training
Q9LX31,training
Q9LX65,training
Q9LXC9,training
Q9LXG1,test
Q9LXG3,training
Q9LXJ0,training
Q9LXK1,training
Q9LXR8,validation
Q9LXT4,training
Q9LXX5,training
Q9LY15,validation
Q9LY23,training
Q9LY66,training
Q9LY74,test
Q9LY84,training
Q9LY87,training
Q9LYA9,training
Q9LYB4,training
Q9LYK6,training
Q9LYK8,test
Q9LYK9,training
Q9LYN0,validation
Q9LYT7,training
Q9LYW9,training
Q9LZ06,training
Q9LZ41,test
Q9LZ82,training
Q9LZ98,training
Q9LZD4,training
Q9LZG0,training
Q9LZG7,training
Q9LZJ3,training
Q9LZK5,training
Q9LZM1,training
Q9LZR5,training
Q9LZS7,validation
Q9LZT0,training
Q9LZT4,training
Q9LZV4,training
Q9LZX1,training
Q9LZX4,training
Q9LZX6,training
Q9M024,validation
Q9M047,training
Q9M065,training
Q9M069,training
Q9M098,training
Q9M099,training
Q9M0A5,training
Q9M0A7,training
Q9M0E2,training
Q9M0F9,training
Q9M0I2,training
Q9M0N1,validation
Q9M0R0,training
Q9M0V4,training
Q9M0V6,training
Q9M0Y6,validation
Q9M156,training
Q9M158,training
Q9M1J6,training
Q9M1J7,training
Q9M1R1,training
Q9M1W4,training
Q9M2E2,training
Q9M2W2,training
Q9M2Y6,training
Q9M336,training
Q9M338,training
Q9M339,training
Q9M385,training
Q9M401,training
Q9M4T3,training
Q9M591,training
Q9M5J9,validation
Q9M5P2,test
Q9M7Q7,training
Q9M7X9,training
Q9M7Z1,test
Q9M876,training
Q9M885,training
Q9M8M7,training
Q9M8R9,training
Q9M8S8,training
Q9M9F1,training
Q9M9M9,training
Q9M9P0,test
Q9M9P3,training
Q9M9Q6,training
Q9M9W1,training
Q9MA63,training
Q9MA74,training
Q9MA79,training
Q9MAH3,training
Q9MAK9,training
Q9MAL9,training
Q9MAP3,validation
Q9MAT5,training
Q9MAU6,training
Q9MBH1,training
Q9MBH2,training
Q9S6Z7,training
Q9S714,training
Q9S720,training
Q9S726,training
Q9S757,training
Q9S762,training
Q9S795,training
Q9S7A3,training
Q9S7D8,validation
Q9S7E4,test
Q9S7E9,training
Q9S7H1,training
Q9S7H4,training
Q9S7M0,training
Q9S7N7,training
Q9S7T8,training
Q9S7Z3,training
Q9S818,training
Q9S834,validation
Q9S850,training
Q9S9N6,training
Q9S9N9,validation
Q9S9P6,training
Q9S9P8,validation
Q9S9W2,training
Q9SA14,training
Q9SA23,training
Q9SA34,training
Q9SA52,test
Q9SA56,training
Q9SA73,training
Q9SA78,training
Q9SAA2,training
Q9SAB3,test
Q9SAI5,validation
Q9SAJ4,training
Q9SAJ6,training
Q9SAL0,training
Q9SB50,training
Q9SB81,training
Q9SBA5,training
Q9SCU1,training
Q9SCX3,training
Q9SCX9,training
Q9SCY3,training
Q9SD04,training
Q9SD07,training
Q9SDM9,training
Q9SDS7,training
Q9SDY5,training
Q9SE96,training
Q9SEE5,training
Q9SEH3,training
Q9SEI4,training
Q9SEL7,training
Q9SF40,training
Q9SF85,training
Q9SFH9,validation
Q9SFU1,training
Q9SG79,training
Q9SGD6,training
Q9SGE0,training
Q9SGH4,training
Q9SGS4,test
Q9SGW3,training
Q9SGY2,training
Q9SH69,test
Q9SHC8,training
Q9SHE8,training
Q9SHH6,training
Q9SHH7,training
Q9SHH8,training
Q9SHJ8,training
Q9SHP0,training
Q9SHR7,training
Q9SI20,test
Q9SID0,training
Q9SIE1,test
Q9SIE7,training
Q9SIH0,training
Q9SIH1,training
Q9SIH4,training
Q9SIK2,training
Q9SIM4,training
Q9SIP1,training
Q9SIU8,training
Q9SIV0,training
Q9SIZ2,training
Q9SJ44,validation
Q9SJ66,training
Q9SJ81,test
Q9SJA7,training
Q9SJH7,training
Q9SJI9,training
Q9SJL8,training
Q9SJQ9,training
Q9SJU4,training
Q9SJU9,training
Q9SJV5,training
Q9SK66,training
Q9SK82,training
Q9SK87,training
Q9SKC1,training
Q9SKC5,training
Q9SKK4,training
Q9SKP6,training
Q9SKQ0,training
Q9SKT0,training
Q9SKX4,training
Q9SKZ1,training
Q9SL05,training
Q9SLA8,training
Q9SLK0,training
Q9SMM9,training
Q9SMN0,training
Q9SMN1,training
Q9SMP0,training
Q9SMQ6,training
Q9SMR2,training
Q9SMX3,training
Q9SN58,validation
Q9SN86,training
Q9SNC3,test
Q9SP02,training
Q9SP08,training
Q9SPE5,training
Q9SPE6,training
Q9SQG2,training
Q9SQI8,training
Q9SQR2,training
Q9SQR3,training
Q9SQR4,training
Q9SQU4,training
Q9SQZ1,training
Q9SR06,training
Q9SR15,training
Q9SR19,training
Q9SR36,training
Q9SR70,training
Q9SR92,validation
Q9SRD4,training
Q9SRE0,training
Q9SRH5,training
Q9SRK6,training
Q9SRM5,training
Q9SRS5,training
Q9SRT9,training
Q9SRY4,training
Q9SRZ6,training
Q9SS17,training
Q9SS44,training
Q9SSA5,validation
Q9SSB4,training
Q9SSB5,training
Q9SSE7,training
Q9SSK7,training
Q9SSK9,test
Q9SSM4,training
Q9SSN3,training
Q9SSS9,training
Q9ST43,training
Q9STF2,training
Q9STS1,training
Q9STX2,training
Q9STY6,training
Q9STY8,training
Q9SU13,test
Q9SU94,training
Q9SUI4,validation
Q9SUI7,validation
Q9SUR3,training
Q9SUR6,training
Q9SUS9,test
Q9SUT2,training
Q9SUT5,training
Q9SUT9,test
Q9SUU5,training
Q9SUV1,training
Q9SUW2,training
Q9SV64,training
Q9SV68,training
Q9SVA6,training
Q9SVC2,training
Q9SVD7,validation
Q9SVP6,training
Q9SVU5,training
Q9SVZ6,training
Q9SW09,training
Q9SW18,training
Q9SW33,training
Q9SWG0,training
Q9SX52,training
Q9SX65,training
Q9SX68,training
Q9SX79,training
Q9SXA5,training
Q9SXP7,training
Q9SY97,test
Q9SYD8,training
Q9SYG7,test
Q9SYT0,training
Q9SZ15,training
Q9SZ58,training
Q9SZ63,validation
Q9SZ83,training
Q9SZA3,training
Q9SZB2,training
Q9SZB9,training
Q9SZD4,training
Q9SZE1,training
Q9SZH4,training
Q9SZI2,training
Q9SZN1,training
Q9SZN7,training
Q9SZQ5,training
Q9SZU7,training
Q9SZW7,test
Q9SZX3,validation
Q9SZX9,training
Q9SZY1,training
Q9T017,training
Q9T019,training
Q9T029,training
Q9T034,training
Q9T043,training
Q9T091,training
Q9T0A7,validation
Q9T0G2,training
Q9T0I8,training
Q9T0K7,training
Q9XEE2,training
Q9XF57,training
Q9XF88,training
Q9XF89,training
Q9XF91,training
Q9XFD1,validation
Q9XFM6,training
Q9XFS7,training
Q9XFS9,training
Q9XGM1,training
Q9XGN1,validation
Q9XI36,training
Q9XI73,training
Q9XI84,test
Q9XI98,training
Q9XIF8,test
Q9XIP8,test
Q9XJ27,training
Q9XJ35,training
Q9ZNR6,test
Q9ZNT0,training
Q9ZNT1,training
Q9ZNT7,training
Q9ZP05,training
Q9ZP06,training
Q9ZPF5,validation
Q9ZPH2,training
Q9ZQ18,training
Q9ZQ19,training
Q9ZQG9,training
Q9ZQX4,training
Q9ZRA2,test
Q9ZRD6,test
Q9ZRE2,training
Q9ZRT5,training
Q9ZRW8,training
Q9ZS91,validation
Q9ZSD4,training
Q9ZSK4,training
Q9ZSR7,training
Q9ZSZ8,training
Q9ZT87,training
Q9ZT91,test
Q9ZU25,training
Q9ZU32,training
Q9ZU52,training
Q9ZU93,training
Q9ZUA0,training
Q9ZUB3,training
Q9ZUC1,training
Q9ZUC2,training
Q9ZUG4,validation
Q9ZUP4,training
Q9ZUR7,training
Q9ZUT9,test
Q9ZUU2,training
Q9ZUY6,training
Q9ZV06,training
Q9ZV24,training
Q9ZV56,training
Q9ZVF2,training
Q9ZVF3,training
Q9ZVH8,test
Q9ZVJ2,training
Q9ZVJ4,training
Q9ZVJ5,training
Q9ZVL3,training
Q9ZVL6,training
Q9ZVQ3,training
Q9ZVT7,training
Q9ZVY7,training
Q9ZW13,validation
Q9ZW15,training
